Date,UPROSIM,LTTSIM,LTT,LTTx2,LTTx3,SPY,SPYx2,SPYx3,UPRO,TMF
1987-01-20,1.10423332,1.166593397,352.01,1.040005417,1.039757797,,,,,
1987-01-21,1.099816386,1.189925265,352.01,1.039757797,1.039510236,,,,,
1987-01-22,1.084418957,1.192305115,352.01,1.039510236,1.039262733,,,,,
1987-01-23,1.158159446,1.185151284,352.01,1.039262733,1.03901529,,,,,
1987-01-26,1.110674909,1.181595831,352.01,1.03901529,1.038767905,,,,,
1987-01-27,1.102900184,1.163871893,352.01,1.038767905,1.038520579,,,,,
1987-01-28,1.153633593,1.146413815,352.01,1.038520579,1.038273313,,,,,
1987-01-29,1.173245364,1.146413815,352.01,1.038273313,1.038026105,,,,,
1987-01-30,1.15916642,1.13609609,358.26,1.07488678,1.093069969,,,,,
1987-02-02,1.15568892,1.155409724,358.26,1.093069969,1.092809714,,,,,
1987-02-03,1.184581143,1.143855627,358.26,1.092809714,1.092549521,,,,,
1987-02-04,1.179842819,1.143855627,358.26,1.092549521,1.09228939,,,,,
1987-02-05,1.227036532,1.136992493,358.26,1.09228939,1.092029321,,,,,
1987-02-06,1.249123189,1.146088433,358.26,1.092029321,1.091769314,,,,,
1987-02-09,1.234133711,1.149526698,358.26,1.091769314,1.091509369,,,,,
1987-02-10,1.21068517,1.162171492,358.26,1.091509369,1.091249486,,,,,
1987-02-11,1.169521875,1.124982004,358.26,1.091249486,1.090989665,,,,,
1987-02-12,1.201098965,1.114857166,358.26,1.090989665,1.090729905,,,,,
1987-02-13,1.175875887,1.114857166,358.26,1.090729905,1.090470208,,,,,
1987-02-17,1.227614426,1.130465166,358.26,1.090470208,1.090210572,,,,,
1987-02-18,1.301271291,1.119160515,358.26,1.090210572,1.089950998,,,,,
1987-02-19,1.301271291,1.124756317,358.26,1.089950998,1.089691486,,,,,
1987-02-20,1.302572563,1.137128637,358.26,1.089691486,1.089432035,,,,,
1987-02-23,1.30126999,1.14281428,358.26,1.089432035,1.089172647,,,,,
1987-02-24,1.260930621,1.141671466,358.26,1.089172647,1.08891332,,,,,
1987-02-25,1.267235274,1.150804837,358.26,1.08891332,1.088654055,,,,,
1987-02-26,1.281174862,1.154257252,358.26,1.088654055,1.088394852,,,,,
1987-02-27,1.267081938,1.157720024,362.89,1.116526757,1.130333568,,,,,
1987-03-02,1.281019839,1.180874424,362.89,1.130333568,1.130064441,,,,,
1987-03-03,1.265647601,1.192683168,362.89,1.130064441,1.129795378,,,,,
1987-03-04,1.280835373,1.195068535,362.89,1.129795378,1.129526379,,,,,
1987-03-05,1.341034635,1.187898124,362.89,1.129526379,1.129257444,,,,,
1987-03-06,1.366514293,1.204528697,362.89,1.129257444,1.128988573,,,,,
1987-03-09,1.367880807,1.186460767,362.89,1.128988573,1.128719766,,,,,
1987-03-10,1.333683787,1.181714924,362.89,1.128719766,1.128451023,,,,,
1987-03-11,1.368359566,1.181714924,362.89,1.128451023,1.128182345,,,,,
1987-03-12,1.360149408,1.178169779,362.89,1.128182345,1.12791373,,,,,
1987-03-13,1.372390753,1.191129647,362.89,1.12791373,1.127645179,,,,,
1987-03-16,1.353177283,1.191129647,362.89,1.127645179,1.127376692,,,,,
1987-03-17,1.327466914,1.182791739,362.89,1.127376692,1.127108269,,,,,
1987-03-18,1.385875458,1.185157322,362.89,1.127108269,1.12683991,,,,,
1987-03-19,1.390033085,1.191083109,362.89,1.12683991,1.126571615,,,,,
1987-03-20,1.409493548,1.191083109,362.89,1.126571615,1.126303383,,,,,
1987-03-23,1.46587329,1.18393661,362.89,1.126303383,1.126035216,,,,,
1987-03-24,1.509849489,1.175649054,362.89,1.126035216,1.125767112,,,,,
1987-03-25,1.517398736,1.165068213,362.89,1.125767112,1.125499072,,,,,
1987-03-26,1.50070735,1.161573008,362.89,1.125499072,1.125231096,,,,,
1987-03-27,1.508210887,1.170865592,362.89,1.125231096,1.124963184,,,,,
1987-03-30,1.435816764,1.149790011,362.89,1.124963184,1.124695336,,,,,
1987-03-31,1.333873774,1.091150721,356.16,1.082979116,1.061853221,,,,,
1987-04-01,1.367220618,1.109700283,356.16,1.061853221,1.061600399,,,,,
1987-04-02,1.376791162,1.09638388,356.16,1.061600399,1.061347637,,,,,
1987-04-03,1.394689448,1.099673031,356.16,1.061347637,1.061094935,,,,,
1987-04-06,1.48952833,1.093074993,356.16,1.061094935,1.060842293,,,,,
1987-04-07,1.513360783,1.105098818,356.16,1.060842293,1.060589712,,,,,
1987-04-08,1.433152662,1.088522336,356.16,1.060589712,1.06033719,,,,,
1987-04-09,1.441751578,1.091787903,356.16,1.06033719,1.060084729,,,,,
1987-04-10,1.376872757,1.032831356,356.16,1.060084729,1.059832328,,,,,
1987-04-13,1.372742139,0.99771509,356.16,1.059832328,1.059579987,,,,,
1987-04-14,1.273904705,0.9847447938,356.16,1.059579987,1.059327706,,,,,
1987-04-15,1.188553089,0.9325533197,356.16,1.059327706,1.059075485,,,,,
1987-04-16,1.253923509,0.9558671527,356.16,1.059075485,1.058823324,,,,,
1987-04-20,1.28652552,0.9883666359,356.16,1.058823324,1.058571223,,,,,
1987-04-21,1.273660265,0.9468552372,356.16,1.058571223,1.058319183,,,,,
1987-04-22,1.273660265,0.9165558696,356.16,1.058319183,1.058067202,,,,,
1987-04-23,1.288944188,0.9248048724,356.16,1.058067202,1.057815281,,,,,
1987-04-24,1.282499468,0.9072335799,356.16,1.057815281,1.05756342,,,,,
1987-04-27,1.210679497,0.8691297695,356.16,1.05756342,1.057311619,,,,,
1987-04-28,1.214311536,0.8795593267,356.16,1.057311619,1.057059879,,,,,
1987-04-29,1.222811717,0.893632276,356.16,1.057059879,1.056808198,,,,,
1987-04-30,1.249713574,0.9043558633,338.79,0.9537266703,0.9019342856,,,,,
1987-05-01,1.299702117,0.9432431654,338.79,0.9019342856,0.9017195394,,,,,
1987-05-04,1.294503309,0.9158891136,338.79,0.9017195394,0.9015048442,,,,,
1987-05-05,1.311331852,0.8884124402,338.79,0.9015048442,0.9012902002,,,,,
1987-05-06,1.393945759,0.8937429148,338.79,0.9012902002,0.9010756073,,,,,
1987-05-07,1.39673365,0.8874867144,338.79,0.9010756073,0.9008610655,,,,,
